"id(l)","id(a)"
"Tornado.Cash","0x00d5ec4cdf59374b2a47e842b799027356eac02b"
"Rug Pull","0x9fc53c75046900d1F58209F50F534852aE9f912a"
"Phishing/Hacking","0x000000000000999e21ee9867d01fab01bd8c4969"
"Aave","0x4e977830ba4bd783c0bb7f15d3e243f73ff57121"
"Phishing/Hacking","0x0d6c24d85680a89152012f9dc81e406183489c1f"
"Phishing/Hacking","0xf48483a7013aec550d47d480d91e7f6769f517ae"
"Phishing/Hacking","0x5233816151d616581993fca4988eea77d01e933d"
"Fantom","0x03894d86cc6e1e41e8bba17469204d304c4e92b8"
"OFAC","0x5A14E72060c11313E38738009254a90968F58f51"
"Government Criminal Blacklist","0x5A14E72060c11313E38738009254a90968F58f51"
"Phishing/Hacking","0xae062cdce2eb4cc2640d536255231d2b98c33696"
"Phishing/Hacking","0x2519a00724ca9d3cdf1fe5f9995d2ee886f48fea"
"Phishing/Hacking","0xe7f25cec2687b2d08969ef21d06b40aba248c177"
"Phishing/Hacking","0x000000000005af2ddc1a93a03e9b7014064d3b8d"
"Phishing/Hacking","0xd326c9d7d8e3bedacb21d6b182a6c49bcce86335"
"Phishing/Hacking","0x33bcCCB20Da8D1f1c95ec723111Ba7CA8a70ebf1"
"Phishing/Hacking","0x79d31b72efae46801e822946fca13d30ef30144e"
"Phishing/Hacking","0x09923e35f19687a524bbca7d42b92b6748534f25"
"Hade Platform","0x85992bb01c8c64a80656c1df988f313af6b661e9"
"ICO Wallets","0x85992bb01c8c64a80656c1df988f313af6b661e9"
"DEX","0x3a7387f8ba3ebffa4a0eccb1733e940ce2275d3f"
"Nerve","0x3a7387f8ba3ebffa4a0eccb1733e940ce2275d3f"
"Gnosis Safe","0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6"
"DEX","0x2f9d55abfefdfd4c3a83e00a1b419b3c2fe4b831"
"KyberSwap","0x2f9d55abfefdfd4c3a83e00a1b419b3c2fe4b831"
"DEX","0x194ebd173f6cdace046c53eacce9b953f28411d1"
"CurveFi","0x194ebd173f6cdace046c53eacce9b953f28411d1"
"Phishing/Hacking","0x8bb8a410e770a693c169a6b2b5286297d9eccbed"
"Bridge","0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1"
"Hop Protocol","0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1"
"Unibright","0x32540a276fb2a63b4922ae5b12d277211dd54833"
"DEX","0x1aef73d49dedc4b1778d0706583995958dc862e6"
"CurveFi","0x1aef73d49dedc4b1778d0706583995958dc862e6"
"Phishing/Hacking","0x2ea0d2f367eeebd4cc9980ecde8d228c726f5a2f"
"Phishing/Hacking","0xd56df468acb9c85953fc1a53ae6133bedbc53165"
"Phishing/Hacking","0x36c22a0a2c7248b2b48bf105bfaf511c5beb1dc8"
"Phishing/Hacking","0xe405d2401269e51815a7bc2ab78e3c7a04d5b806"
"Phishing/Hacking","0x51d167f3366c6869d734245b85e29d3ea0e89066"
"Huobi","0x60b45f993223dcb8bdf05e3391f7630e5a51d787"
"Contract Exploit","0xFB3573EdC19b0131f439a4EDa5938B82fDa93848"
"DeFi Education Fund","0xcb598f253818398f3d91595f22d897096e240ae3"
"Friends Fingers DAO Platform","0xa042c9143c8758d2ad5a3fcc08dec39f6964453e"
"DAO","0xa042c9143c8758d2ad5a3fcc08dec39f6964453e"
"Phishing/Hacking","0xbefa0509207c8834003af4bd82d13876f1a58fdd"
"Phishing/Hacking","0x55456cBd1F11298B80A53c896F4B1dC9Bc16c731"
"Donate","0xa8cc2b4bd58c778a45dee62bb0714e2da37ca95c"
"Check My NFT","0xa8cc2b4bd58c778a45dee62bb0714e2da37ca95c"
"Tokenlon","0x929cf614c917944dd278bc2134714eaa4121bc6a"
"Unstoppable Domains","0x09b091492759737c03da9db7edf1cd6bcc3a9d91"
"Rug Pull","0xdeD7EdfC4d10033c79A8A20A7cA81923638fc638"
"Fake Project Scam","0xb20decebd8d83efa3861c56a5eff60d0a2b89d0d"
"Parity Bug","0x19986fcfbc5ef9b9e377fa8429c5a8d215cbe814"
"Phishing/Hacking","0x70ba69fCb5720BA8D573b78f641eEcB775C0E5a9"
"Crypto Wars","0xdad1205bfe91b64f3ec50a02ec7913c4d23f5655"
"Phishing/Hacking","0xa55a198b469681d52673c45e005ff5033a045615"
"Phishing/Hacking","0xfde7bc4f67d926328ad881fec09cabbde2cf866f"
"Rug Pull","0x04c64F3Ac5d442C8A92955A09faCDc112FC554da"
"Phishing/Hacking","0x6e8b5a4f3f536b7b65d4b46160f2fbcbe0719caa"
"Phishing/Hacking","0xdd90833f62ec63d982621b1d26dad9ca85bc8e41"
"Phishing/Hacking","0x42Fcf3B5708a84EF393f419b4FD1778dDF30d811"
"Phishing/Hacking","0x17b912e9352b5201a42f8455651ae7cee91c4060"
"Phishing/Hacking","0x86864eb95b4c3937c3c961730fa8f70b40906b68"
"Phishing/Hacking","0x7fe5aa3f065516a9ebb73832d4eb52ae91643f03"
"OFAC","0x84443CFd09A48AF6eF360C6976C5392aC5023a1F"
"Government Criminal Blacklist","0x84443CFd09A48AF6eF360C6976C5392aC5023a1F"
"Contract Exploit","0x26a76f4fE7a21160274D060acB209f515F35429c"
"Balancer","0x16cac1403377978644e78769daa49d8f6b6cf565"
"YFII Finance","0x16cac1403377978644e78769daa49d8f6b6cf565"
"Phishing/Hacking","0x679c34c26e7841b9fc0ce0ff40579219ee3a1ed6"
"Phishing/Hacking","0xddba58ab70a50271bb73de9a2a191bb4f781e0d6"
"Blocked","0x41860c3914c55ad6f63d5c6fd2a2cd6c893a2fc7"
"Phishing/Hacking","0xa6de61dbefa9e2f00ad45a09d7fd063c15dd4e1b"
"Phishing/Hacking","0x5208d7f63a089906889a5a9caed81e9c889e64f8"
"Phishing/Hacking","0x9a925f57bacdef5ca5d13ecf08ba9ee55a9b0585"
"Blackmail","0x645daA8cD7F757aC644388E3b132362cb708c96C"
"Sybil Delegate","0xa8a2188916d3744569327c4b1e067729f9443182"
"Safe Multisig","0x9467cfadc9de245010df95ec6a585a506a8ad5fc"
"Index Protocol","0x9467cfadc9de245010df95ec6a585a506a8ad5fc"
"Pig Butchering","0x336f667B298d860DeFc4a8CE6b138388AF8F8203"
"Centre","0xf0d160dec1749afaf5a831668093b1431f7c8527"
"USDC","0xf0d160dec1749afaf5a831668093b1431f7c8527"
"DeFi Education Fund","0xcf8c946c6819dafe62f82803e01eb27ea232825c"
"Phishing/Hacking","0x74dde07c099e4f017e95e30d0235ada70c7f126f"
"Phishing/Hacking","0x1847b35a3444edbede05b52a378d45e13eea54c4"
"Contract Exploit","0xcb36b1ee0af68dce5578a487ff2da81282512233"
"Phishing/Hacking","0xb3a9b79f4d5dc2cdcdc00da22869502cbf65a0a5"
"Phishing/Hacking","0x882f33f162ab64d427182087dd4916c537de8582"
"Phishing/Hacking","0x57c3d88d79d9f695cfbd9d0778b7062a0a7b1809"
"Phishing/Hacking","0x61033079119f60bc070877ad02e800211508c7b8"
"Rug Pull","0xa0eedd6ac3887d8ba9031eda76daa5f6ed2239ca"
"Blackmail","0xa0eedd6ac3887d8ba9031eda76daa5f6ed2239ca"
"OFAC","0xb541fc07bC7619fD4062A54d96268525cBC6FfEF"
"Government Criminal Blacklist","0xb541fc07bC7619fD4062A54d96268525cBC6FfEF"
"Phishing/Hacking","0xa2280ddc79183a0de9d3d90c63c0e7646874d9e0"
"Phishing/Hacking","0xb10fc7a1b56166101796c720be9553cf1b8364d2"
"Phishing/Hacking","0xf34bdf2c9057b186499a7bc8afad1629c808e263"
"Phishing/Hacking","0xa7f7ebced68e8447f376effc9e7e1455e03ebda4"
"Augmented Finance","0x6e282b89b6d4d336852dc5c94689944a73cc6b58"
"KyberSwap","0x3480e12b6c2438e02319e34b4c23770679169190"
"Phishing/Hacking","0x89c0894cd9c74a6f9dc166bca3df906803ebbe8a"
"Pool Together","0x2c2a966b7f5448a36ec9f896088dfb99b21d8a24"
"Phishing/Hacking","0x3646da9d8e6cb67b0cf86af2c30c8b615d9bb9ce"
"Phishing/Hacking","0x75ef5d2f364a605aaf4358f0336532414b97b1b0"
"Phishing/Hacking","0xaf0f80fa73d55a5f3fb64bb01dda0d5a1f37834e"
"Phishing/Hacking","0x8dbdbb1daa5ee7a45dcc5e23d4aadacf7db9bc2e"
"Option Room","0x5683f7142247e5f9f61e6e74770e3279017df21d"
"Polkastarter","0x5683f7142247e5f9f61e6e74770e3279017df21d"
"Phishing/Hacking","0x2492187a69d486e7a500a3a7dd441f034ce6a158"
"Maker Vault Owner","0x726a182cd0f774edef08daa4117ba7204a1086bd"
"Open Sea","0x0000000035634b55f3d99b071b5a354f48e10bef"
"Gem","0x0000000035634b55f3d99b071b5a354f48e10bef"
"Marketplace","0x0000000035634b55f3d99b071b5a354f48e10bef"
"Phishing/Hacking","0x5BC989F38eC9B913B0fBd8b702858214d428A1bD"
"Phishing/Hacking","0xc8428f2f654bca80ad74d009a48c5c56fc85ab9f"
"Coinex","0x33ddd548fe3a082d753e5fe721a26e1ab43e3598"
"Exchange","0x33ddd548fe3a082d753e5fe721a26e1ab43e3598"
"Hot Wallet","0x33ddd548fe3a082d753e5fe721a26e1ab43e3598"
"OFAC","0x538Ab61E8A9fc1b2f93b3dd9011d662d89bE6FE6"
"Government Criminal Blacklist","0x538Ab61E8A9fc1b2f93b3dd9011d662d89bE6FE6"
"Reflexer Finance","0xa706d4c39c315288113020f3e2d7e1095e912a20"
"Governance","0x1c95930dfc1139381265ce45b5f480f1efae09a1"
"Safe Multisig","0x1c95930dfc1139381265ce45b5f480f1efae09a1"
"DeFi Education Fund","0x1c95930dfc1139381265ce45b5f480f1efae09a1"
"Phishing/Hacking","0x387ba35be8c8cbf2f4d3ddb571cb80069bf100e2"
"Phishing/Hacking","0x09e2d29cc752d4599912ef19bfac9280aaccc1a4"
"Lido","0xb8ffc3cd6e7cf5a098a1c92f48009765b24088dc"
"Phishing/Hacking","0x1883e2b785e75e1bd2f1ca62e2dc424fe092fa09"
"Phishing/Hacking","0x97a5c9344e0dca3722a9505de32433aba27363cb"
"NFT Airdrop Scam","0x412f10aad96fd78da6736387e2c84931ac20313f"
"Phishing/Hacking","0x37c85a7523b1832b4d0380b2f513e88b66e8c850"
"Phishing/Hacking","0x8eb5324c78254b8b3789be919ce9d255afb0e9aa"
"Bit Max","0x1c289a12a8552b314d0d153d6991fd27a54aa640"
"AscendEX","0x1c289a12a8552b314d0d153d6991fd27a54aa640"
"Blocked","0x0f18647467de7b885fe1bf77a78e12e19c814ad7"
"Phishing/Hacking","0x89b6206ce2919da73a89d30cbbf9c26c6495c896"
"Opium","0x7f5f4087006ba4f4985b32f9d1079ee2f8594af8"
"Phishing/Hacking","0xf4678169b1eb0c141fd99942ac02191145fefe3f"
"Phishing/Hacking","0xac82537fae701b2046f62bb718c4857787b0b647"
"Phishing/Hacking","0xc5f6690f7b60fe739908e02aec46ae07718cec5f"
"Hop Protocol","0xe6bfe2ac487ea9a6c58108fbcb6d2db96b667cc0"
"POA Network","0x803ad3f50b9e1ff68615e8b053a186e1be288943"
